id,number,type,score,source_page,group_prompt,stem,option_a,option_b,option_c,option_d,answer,images
HK2025-M1-GEO-001,1,single_choice,2,1,2025年4月23日是中国人民海军成立76周年纪念日。23日前后，人民海军将在沿海10多个城市港口同步举行舰艇开放活动。读图1，完成1-2题。,我国是一个海洋大国，具有的国情是,领海面积960万平方千米,海洋资源总量大，人均多,岛屿众多，大陆架狭窄,污染较严重，灾害频发,,question_images/figure_01.png
HK2025-M1-GEO-002,2,single_choice,2,1,2025年4月23日是中国人民海军成立76周年纪念日。23日前后，人民海军将在沿海10多个城市港口同步举行舰艇开放活动。读图1，完成1-2题。,中国人民海军加强对钓鱼岛的定期巡航，其意义是,提高舰艇开放活动知名度,维护外交关系，睦邻友好,强化全民海洋意识，树立海洋国土观念,加强我国对南海岛礁及海域的有效管理,,question_images/figure_01.png
HK2025-M1-GEO-003,3,single_choice,2,1,读某校校园景观指示牌（图2-a）及校园局部图（图2-b），完成3-4题。,若把图2-b看作一幅完整的地图，则图2-a相当于图2-b的,图例和注记,方向,位置说明,比例尺,,question_images/figure_02.png
HK2025-M1-GEO-004,4,single_choice,2,1,读某校校园景观指示牌（图2-a）及校园局部图（图2-b），完成3-4题。,根据图2-a信息判断，指示牌最可能位于图2-b中的,①处,②处,③处,④处,,question_images/figure_02.png
HK2025-M1-GEO-005,5,single_choice,2,1,2024年11月28日，塔克拉玛干沙漠边缘的绿色阻沙防护带全面锁边“合龙”，形成全长3046公里的生态绿环。读塔里木盆地示意图（图3），完成5-6题。,“锁边”工程难度大、施工时间长的原因是当地,病虫害多,泥石流频发,气候冷湿,沙漠面积大,,question_images/figure_03.png
HK2025-M1-GEO-006,6,single_choice,2,1,2024年11月28日，塔克拉玛干沙漠边缘的绿色阻沙防护带全面锁边“合龙”，形成全长3046公里的生态绿环。读塔里木盆地示意图（图3），完成5-6题。,生态绿环的建成，对当地的有利影响是,减少草地面积,保障农业生产稳定性,减轻河流污染,提高居民的文化素养,,question_images/figure_03.png
HK2025-M1-GEO-007,7,single_choice,2,2,读表1，完成7-8题。,将表中数据资料绘制气温曲线图，在图上标注图名，正确的步骤是：①用平滑的线连接各点，画出一条曲线；②将12个月的气温数据，在图中用点标注出来；③绘出横坐标轴，平分为12段，逐段标上月份；④绘出纵坐标轴，按相等的温度差标上气温刻度。,①②③④,③②④①,①④②③,③④②①,,question_images/table_01.png
HK2025-M1-GEO-008,8,single_choice,2,2,读表1，完成7-8题。,该地所在地区可能是,北半球的热带,南半球的热带,北半球的陆地,南半球的海洋,,question_images/table_01.png
HK2025-M1-GEO-009,9,single_choice,2,2,2025年3月22日世界水日的主题是“冰川保护”。据观测，2025年北极边缘海冰覆盖率仅15%（正常应超50%）。读北极地区示意图（图4），完成9-10题。,北极海冰持续退减，其主要原因是,二氧化碳排放量大，全球变暖,人类开采海冰，输往干旱地区,北极降水减少，太阳辐射增强,科考活动频繁，环境破坏严重,,question_images/figure_04.png
HK2025-M1-GEO-010,10,single_choice,2,2,2025年3月22日世界水日的主题是“冰川保护”。据观测，2025年北极边缘海冰覆盖率仅15%（正常应超50%）。读北极地区示意图（图4），完成9-10题。,北极海冰持续退减，对北极地区可能带来的影响有,北极熊捕猎的成功率上升,北极圈内苔原带面积扩大,浮冰量增多，通航能力下降,封冻期增长，利于渔业捕捞,,question_images/figure_04.png
HK2025-M1-GEO-011,11,single_choice,2,2,读甲、乙两国简图（图5），完成11-12题。,关于两国工业区的分布，叙述正确的是,甲国：多接近矿产资源产地,乙国：主要分布在丘陵地区,甲国：主要分布在亚洲部分,乙国：多分布在大西洋沿岸,,question_images/figure_05.png
HK2025-M1-GEO-012,12,single_choice,2,2,读甲、乙两国简图（图5），完成11-12题。,关于两国的叙述，正确的是,甲国：地狭人稠,甲国：以温带大陆性气候为主,乙国：地广人稀,乙国：以温带海洋性气候为主,,question_images/figure_05.png
HK2025-M1-GEO-013,13,single_choice,2,3,读漫画《洗澡》（图6），完成13-14题。,漫画的主题是,纯净水减产,地球气温升高,水资源紧缺,水体污染严重,,question_images/figure_06.png
HK2025-M1-GEO-014,14,single_choice,2,3,读漫画《洗澡》（图6），完成13-14题。,可能加剧漫画所反映环境问题的行为是,改进灌溉方式,使用化肥、农药,废水达标排放,生产环保清洁剂,,question_images/figure_06.png
HK2025-M1-GEO-015,15,single_choice,2,3,“坪”是指四周被河流切割、顶部平缓的地形。读我国某地等高线地形图（图7），完成15-16题。,当地村落多采用“坪”作为地名，下列村落所在地中，属于“坪”的是,①村,②村,③村,④村,,question_images/figure_07.png
HK2025-M1-GEO-016,16,single_choice,2,3,“坪”是指四周被河流切割、顶部平缓的地形。读我国某地等高线地形图（图7），完成15-16题。,近年，②、③两村修建村道，选择绕行而未修建隧道、桥梁，考虑的主要因素是,气候因素,技术因素,地形因素,经济因素,,question_images/figure_07.png
HK2025-M1-GEO-017,17,single_choice,2,3,中国高铁营运里程居世界第一，2024年，近八成旅客乘坐动车出行。据此，完成17-18题。,高铁客运相比普通火车客运的优势体现在：①适合短距离运输；②总体载客量更大；③运输效率更高；④价格相对低廉。,①③,②④,②③,①④,,
HK2025-M1-GEO-018,18,single_choice,2,3,中国高铁营运里程居世界第一，2024年，近八成旅客乘坐动车出行。据此，完成17-18题。,我国东部地区高铁客运的班次非常密集，是因为东部地区,经济发达，对交通运输需求量大,洪灾频发，经常抢运救灾物资,地势起伏大，高铁施工难度较小,人口、城市稀疏，互相联系困难,,
