id,number,type,score,source_page,group_prompt,stem,option_A,option_B,option_C,option_D,answer,images
HK2026M1-GEO-001,1,single_choice,2,1,2026年3月16日，中建一号合作星、成电一号、锦江星元号卫星搭乘快舟十一号遥七火箭在酒泉卫星发射中心点火升空，卫星顺利进入预定轨道。据此完成1-2题。,快舟十一号送入轨道的卫星，其运行环境所属的最低一级天体系统是,地月系,太阳系,银河系,总星系,,
HK2026M1-GEO-002,2,single_choice,2,1,2026年3月16日，中建一号合作星、成电一号、锦江星元号卫星搭乘快舟十一号遥七火箭在酒泉卫星发射中心点火升空，卫星顺利进入预定轨道。据此完成1-2题。,中国大力发展航天事业，对人类生存发展的重要意义在于,有助于提升国家科技实力,改善地球所处的宇宙环境,扩大人类宜居地球表面面积,努力探索与开发地外资源,,
HK2026M1-GEO-003,3,single_choice,2,1,海甸岛是海南省南渡江入海口的冲积洲，1970年海口市政府发动修筑拦海大坝，此后多次拦海造田和吹填扩岛，形成了岛屿现有地貌与规模。读中国地图（图1），完成3-4题。,下列关于海南省地理位置的说法，不正确的是,四面环海，有利于发展海洋事业,位于南海北部，是重要的海上交通要道,地处亚太国际主航道的中心位置,与多国隔海相望，不利于国际贸易,,question_images/figure_01.png
HK2026M1-GEO-004,4,single_choice,2,1,海甸岛是海南省南渡江入海口的冲积洲，1970年海口市政府发动修筑拦海大坝，此后多次拦海造田和吹填扩岛，形成了岛屿现有地貌与规模。读中国地图（图1），完成3-4题。,海甸岛的形成与演变过程中，1970年开始的围海造田主要利用了海洋的,生物资源,矿产资源,空间资源,化学资源,,question_images/figure_01.png
HK2026M1-GEO-005,5,single_choice,2,1,无人车穿梭街头、机器人交警上岗执勤。从智能出行到城市管理，机器人正深度融入日常生活。图2为中国主要工业基地和工业机器人产业园所在地示意图，据此完成5-6题。,影响机器人产业分布的主要因素是,丰富的资源,雄厚的资金,优美的环境,科技与人才,,question_images/figure_02.png
HK2026M1-GEO-006,6,single_choice,2,1,无人车穿梭街头、机器人交警上岗执勤。从智能出行到城市管理，机器人正深度融入日常生活。图2为中国主要工业基地和工业机器人产业园所在地示意图，据此完成5-6题。,图示工业基地的共同特点是,廉价的劳动力,矿产资源丰富,沿海交通便利,淡水资源丰富,,question_images/figure_02.png
HK2026M1-GEO-007,7,single_choice,2,2,墨脱县位于西藏东南部，这里年降水量超过2000毫米，森林覆盖率高，拥有从热带雨林到冰川的垂直自然带。图3为藏东南区域及墨脱所在区域示意图。完成7-9题。,导致墨脱县自然带垂直分布的主要原因是,纬度较低，热量充足,距海较近，降水丰富,地势起伏大，高低悬殊,人口稀疏，开发程度低,,question_images/figure_03.png
HK2026M1-GEO-008,8,single_choice,2,2,墨脱县位于西藏东南部，这里年降水量超过2000毫米，森林覆盖率高，拥有从热带雨林到冰川的垂直自然带。图3为藏东南区域及墨脱所在区域示意图。完成7-9题。,该地区农作物主要分布在雅鲁藏布江谷地，其主要原因是,地处热带，太阳高度角大,海拔较低，热量较为充足,青藏高原阻挡冷空气南下,地处平原，土壤较为肥沃,,question_images/figure_03.png
HK2026M1-GEO-009,9,single_choice,2,2,墨脱县位于西藏东南部，这里年降水量超过2000毫米，森林覆盖率高，拥有从热带雨林到冰川的垂直自然带。图3为藏东南区域及墨脱所在区域示意图。完成7-9题。,西藏自治区主要的少数民族是,藏族,蒙古族,维吾尔族,高山族,,question_images/figure_03.png
HK2026M1-GEO-010,10,single_choice,2,2,尼加拉瓜境内的尼加拉瓜湖数万年前曾是太平洋的海湾，因火山喷发与海洋隔绝成湖。图4为“尼加拉瓜地理位置图”。据此完成10-11题。,尼加拉瓜湖地处,美洲板块与大西洋板块的交界处,美洲板块与南极洲板块的交界处,太平洋板块与亚欧板块的交界处,太平洋板块与南极洲板块的交界处,,question_images/figure_04.png
