id,number,type,score,source_page,group_prompt,stem,option_a,option_b,option_c,option_d,answer,images
HN2024-GEO-001,1,single_choice,2,1,戏曲是中华优秀传统文化的亮丽名片，京剧、豫剧、秦腔、川剧、琼剧等百花争艳，各具地方特色。读图为“中国的省级行政区域示意图”，完成1-2题。,琼剧是海南省的代表剧种，主要流行于图中的,甲地,乙地,丙地,丁地,,question_images/figure_01.png
HN2024-GEO-002,2,single_choice,2,1,戏曲是中华优秀传统文化的亮丽名片，京剧、豫剧、秦腔、川剧、琼剧等百花争艳，各具地方特色。读图为“中国的省级行政区域示意图”，完成1-2题。,我国传统文化地域差异显著的主要原因是,地处高纬,疆域辽阔,位于热带,海域宽广,,question_images/figure_01.png
HN2024-GEO-003,3,single_choice,2,1,干栏式木楼是我国西南少数民族地区的传统民居，木楼底层架空，下层堆放杂物，上层住人。读图为干栏式木楼景观图，完成3-4题。,干栏式木楼反映当地的气候特征是,干旱,寒冷,湿热,干热,,question_images/figure_02.png
HN2024-GEO-004,4,single_choice,2,1,干栏式木楼是我国西南少数民族地区的传统民居，木楼底层架空，下层堆放杂物，上层住人。读图为干栏式木楼景观图，完成3-4题。,下列少数民族集中分布在该地区的是,傣族,维吾尔族,朝鲜族,蒙古族,,question_images/figure_02.png
HN2024-GEO-005,5,single_choice,2,1,读表，完成5-6题。,据表可知，我国,农村人口比重越来越大,1970年城镇人口比农村人口多,城镇人口比重不断增大,2023年农村人口比城镇人口多,,question_images/table_01.png
HN2024-GEO-006,6,single_choice,2,2,读表，完成5-6题。,我国城乡人口比重发生变化的首要原因是,农村基础设施完善,农村耕地面积扩大,城市空气质量优良,我国经济快速发展,,question_images/table_01.png
HN2024-GEO-007,7,single_choice,2,2,5月12日是全国防灾减灾日，2024年的主题是“人人讲安全、个个会应急——着力提升基础防灾避险能力”。读图为“中国主要气象灾害的分布”，完成7-8题。,我国洪涝灾害多发区主要分布在,西北地区,东北地区,东南地区,青藏地区,,question_images/figure_03.png
HN2024-GEO-008,8,single_choice,2,2,5月12日是全国防灾减灾日，2024年的主题是“人人讲安全、个个会应急——着力提升基础防灾避险能力”。读图为“中国主要气象灾害的分布”，完成7-8题。,中学生需要掌握自然灾害安全防护的基本技能。下列自然灾害应对方法合理的是,地震发生时应迅速乘坐电梯逃生,遇到洪水时应及时跑到低洼地带,刮台风时应躲在大型广告牌下避风,遇泥石流应向垂直于其流向的山坡上跑,,question_images/figure_03.png
HN2024-GEO-009,9,single_choice,2,2,下图是同学们为演示地球自转运动设想的四种方向，完成9题。,下图是同学们为演示地球自转运动设想的四种方向，正确的是,甲,乙,丙,丁,,question_images/figure_04.png
HN2024-GEO-010,10,single_choice,2,2,长江干流的乌东德、白鹤滩、溪洛渡、向家坝、三峡和葛洲坝等六座梯级水电站，共同构成目前世界上最大清洁能源走廊，对我国在2030年前实现碳达峰、2060年前实现碳中和具有重要意义。读图为碳达峰、碳中和及长江流域局部区域示意图，完成10-11题。,长江干流建成清洁能源走廊，对实现碳达峰、碳中和的积极作用是,保护淡水资源,防止水土流失,降低火电比重,防止洪涝灾害,,question_images/figure_05.png
HN2024-GEO-011,11,single_choice,2,2,长江干流的乌东德、白鹤滩、溪洛渡、向家坝、三峡和葛洲坝等六座梯级水电站，共同构成目前世界上最大清洁能源走廊，对我国在2030年前实现碳达峰、2060年前实现碳中和具有重要意义。读图为碳达峰、碳中和及长江流域局部区域示意图，完成10-11题。,长江干流上游建设水电站的优势条件是,江阔水深,植被茂密,水流平缓,落差很大,,question_images/figure_05.png
