题号,类型,分值,页码,材料,题干,选项A,选项B,选项C,选项D,答案,图片
1,single_choice,2,1,我国最东端的城市——“东极水乡”抚远日出喧嚣沸腾时，最西端的城市——“西极古城”喀什在夜晚寂静沉睡。读图1“抚远与喀什位置图及景观图”，据此完成1-2题。,喀什以西是我国疆域最西端所在的,帕米尔高原,曾母暗沙,黑龙江,乌苏里江,A,question_images/figure_01.png
2,single_choice,2,1,读图1“抚远与喀什位置图及景观图”，据此完成1-2题。,抚远日出喧嚣沸腾时，喀什在夜晚寂静沉睡，这是因为我国,南北跨纬度广,海岸线漫长,东西跨经度广,边境线漫长,C,question_images/figure_01.png
3,single_choice,2,1,鲁玛乔加船形屋是苏门答腊岛的传统民居，住宅下层是硬木搭建的支架作为家畜栏，中层是竹木拼接的生活区，上层是一个倒扣的船形屋顶，屋顶上面覆盖棕榈叶等纤维编织而成的草席。读图2“鲁玛乔加船形屋景观图和苏门答腊岛气候资料图”，据此完成3-4题。,鲁玛乔加船形屋倒扣的船形屋顶便于,通风散热,快速排水,降低成本,就地取材,B,question_images/figure_02.png
4,single_choice,2,1,读图2“鲁玛乔加船形屋景观图和苏门答腊岛气候资料图”，据此完成3-4题。,鲁玛乔加船形屋在结构上最接近我国的,云南竹楼,陕西窑洞,福建土楼,西藏碉楼,A,question_images/figure_02.png
5,single_choice,2,1,读表1“2017-2024年我国人口变化情况”，据此完成5-6题。,2017-2024年，我国人口最多的年份是,2017年,2018年,2021年,2024年,C,question_images/figure_03.png
6,single_choice,2,2,读表1“2017-2024年我国人口变化情况”，据此完成5-6题。,为缓解我国人口负增长带来的社会问题，应采取的有效措施是,调整完善生育政策,大量接纳外国移民,鼓励青年晚婚晚育,发展劳动密集产业,A,question_images/figure_03.png
7,single_choice,2,2,2025年1月24日，海南首例无人机配送离岛免税品完成，旅客提货时间从6小时缩短至3小时以内，优化了消费者的购物体验，据此完成7-8题。,海南首例无人机配送离岛免税品的成功实施，主要得益于,市场广阔,交通便利,科技先进,劳动力丰富,C,
8,single_choice,2,2,海南首例无人机配送离岛免税品完成，据此完成7-8题。,海南首例无人机配送离岛免税品完成有利于,降低免税品的价格,提高免税品配送效率,增加消费者购物成本,减少消费者购物选择,B,
9,single_choice,2,2,北京某同学12月初在故宫游玩时拍摄到太和门前铜狮子及其影子照片（如图3），据此完成9-10题。,太和门前铜狮子一天内影子长短和方向不同，产生这种现象的原因是,地球公转,地球自转,地球形状,地球大小,B,question_images/figure_04.png
10,single_choice,2,2,据图3“太和门前铜狮子影子照片”，据此完成9-10题。,12月初到冬至节气，正午时铜狮子的影子,逐渐变短,一直不变,逐渐变长,冬至最短,C,question_images/figure_04.png
