id,number,type,score,source_page,group_prompt,stem,option_A,option_B,option_C,option_D,answer,images
HQG8-2025-GEO-001,1,single_choice,2,1,2025年春节，“南方人北上看雪，北方人南下避寒”的旅游模式持续火爆，人们热衷于“南北互换”式旅游，以此领略我国不同的自然风光和人文风情。如图为我国部分“南北互换”式旅游热门景点分布示意图，据此完成第1-3小题。,下列对我国地理位置的描述，正确的是,地跨热、温、寒三带,位于亚洲东部，太平洋西岸,位于北半球和西半球,位于低、中、高纬度,,question_images/figure_01.png
HQG8-2025-GEO-002,2,single_choice,2,1,读我国部分“南北互换”式旅游热门景点分布示意图，完成第1-3小题。,“南北互换”式旅游热门景点中，最接近我国领土最南端的是,云南·西双版纳—漫步雨林,新疆·喀纳斯—冰雪秘境,海南·三亚—椰林沙滩,黑龙江·漠河—泼水成冰,,question_images/figure_01.png
HQG8-2025-GEO-003,3,single_choice,2,1,读我国部分“南北互换”式旅游热门景点分布示意图，完成第1-3小题。,隆冬时节，我们既能去看林海雪原又能漫步热带雨林，主要是因为我国,跨越寒带、温带与热带,东西跨经度广，时间差异大,经济发达，交通便利,南北跨纬度广，气候差异大,,question_images/figure_01.png
HQG8-2025-GEO-004,4,single_choice,2,2,在贺兰县海鱼游进盐碱滩，南美白对虾在贺兰山东麓的盐碱水中泛着银光，大黄鱼游进黄河古灌区生态渔场，盐碱滩成了“聚宝盆”。读贺兰县位置图完成第4-6小题。,宁夏平原被称为“塞上江南”主要是引____灌溉。,高山冰雪融水,季节性积雪融水,大气降水,黄河水,,question_images/figure_02.png
HQG8-2025-GEO-005,5,single_choice,2,2,读贺兰县位置图完成第4-6小题。,贺兰县发展海鱼养殖的自然优势是,夏季高温多雨,光照强，水温高,高山冰雪融水，水质好,海水养殖技术发达,,question_images/figure_02.png
HQG8-2025-GEO-006,6,single_choice,2,2,读贺兰县位置图完成第4-6小题。,贺兰县能够建成西北最大的南美白对虾设施养殖集群基地，关键是取决于什么因素,先进的养殖技术,便利的交通,丰富的淡水资源,雄厚的资金,,question_images/figure_02.png
HQG8-2025-GEO-007,7,single_choice,2,2,2025年8月23日晚，第二十届中国长春电影节在吉林省长春市开幕。本届电影节以“新时代·新摇篮·新力量·新征程”为主题。据此完成第7-9小题。,长春能够多次承办大型电影节，其突出优势是,石油资源丰富，工业基础雄厚,电影文化历史悠久，城市服务设施完善,位于边境，便于对外交流,气候全年寒冷，适合室内活动,,
HQG8-2025-GEO-008,8,single_choice,2,2,2025年8月23日晚，第二十届中国长春电影节在吉林省长春市开幕。据此完成第7-9小题。,长春电影节主题中“新摇篮”寓意长春作为中国电影事业的发源地。从地理视角看，长春所在的东北平原,属于温带季风气候，冬季寒冷,以油菜种植为主,地形以山地为主，适宜发展林业,河流结冰期长，含沙量较大,,
HQG8-2025-GEO-009,9,single_choice,2,2,2025年8月23日晚，第二十届中国长春电影节在吉林省长春市开幕。据此完成第7-9小题。,电影节期间正值秋季，东北地区可能出现的地理现象是,三江平原开始播种冬小麦,松花江进入汛期，水位上涨,长白山林区层林尽染，吸引游客,大庆油田因低温停产检修,,
HQG8-2025-GEO-010,10,single_choice,2,2,,《黑神话：悟空》的故事背景融入了大量中国传统文化元素，若游戏场景设定在黄土高原地区，以下关于该地区自然与人文特征的描述，正确的是,地形平坦开阔，一望无际,气候干旱少雨，植被稀疏,河网密布，水运发达,稻田连片，民居以竹楼为主,,
HQG8-2025-GEO-011,11,single_choice,2,3,历史上贵州食盐主要依靠外地运输，但运量小，难以满足需求。于是当地人利用发酵工艺，将食物储存在坛子里发酵成酸食，代替食盐调味。下图为贵州省地形图。据此完成第11-12小题。,历史上，贵州食盐运输量较小的主要原因是,地形崎岖，交通不便,降水丰富，水网稠密,光照强烈，蒸发旺盛,人口稀少，需求量小,,question_images/figure_03.png
HQG8-2025-GEO-012,12,single_choice,2,3,读贵州省地形图，完成第11-12小题。,在贵州，食物容易发酵成酸食，主要是因为当地,高寒缺氧,地形复杂,土壤肥沃,气候暖湿,,question_images/figure_03.png
HQG8-2025-GEO-013,13,single_choice,2,3,结合某省某市土地利用类型构成图，完成第13-14小题。,根据图示土地利用类型占比，可知该市最主要的土地利用类型是,耕地,林地,种植园用地,草地,,question_images/figure_04.png
HQG8-2025-GEO-014,14,single_choice,2,3,结合某省某市土地利用类型构成图，完成第13-14小题。,据图推测，该市主要地形类型最可能是,高原,平原,盆地,丘陵,,question_images/figure_04.png
HQG8-2025-GEO-015,15,single_choice,2,3,2025年2月28日，国家统计局发布数据显示，2024年全年人口自然增长率为-0.99‰。下图为1949年以来我国人口政策的动态调整时间演变轴。据此完成第15-17小题。,近20年来，与我国人口政策调整密切相关的国情是,老年人口比重增加,劳动人口比重升高,我国人口总量急剧下降,我国人口分布不均,,question_images/figure_05.png
HQG8-2025-GEO-016,16,single_choice,2,3,读我国人口政策动态调整时间演变轴，完成第15-17小题。,2021年我国实施全面放开三孩政策的积极意义是：①缓解了人口老龄化；②增加了劳动力储备；③保障人口均衡分布；④促进接纳海外移民。,①②,②③,②④,③④,,question_images/figure_05.png
