id,number,type,score,source_page,group_prompt,stem,option_A,option_B,option_C,option_D,answer,images
STAGE2025-GEO-001,1,single_choice,2,1,2024年6月，“嫦娥六号”月球探测器实现了人类首次月背着陆，采集并带回约2千克的月背土壤样本。中国又获得探月工程的重大成果，为2030年前实现中国人首次登陆月球奠定了基础。图2是太阳系中心天体轨道示意图。据此完成第1-2小题。,据探测器观测，月球上没有氧气和液态水，昼夜温差极大，一片荒凉的月表布满了陨石坑。相比较而言，地球上生机勃勃的主要原因是：①相对安全的宇宙环境；②适中的日地距离；③液态水的存在；④大气层保护下适宜的温度；⑤有和月球一样的土壤。,①②③⑤,①②③④,①②④⑤,②③④⑤,,question_images/figure_01.png
STAGE2025-GEO-002,2,single_choice,2,1,读太阳系中心天体轨道示意图，完成第1-2小题。,从图2中可以看出,金星距离太阳最近,各行星的运转轨道会交叉,离地球最近的行星是土星,火星—木星之间有一个小行星带,,question_images/figure_01.png
STAGE2025-GEO-003,3,single_choice,2,1,,我国进行太空探索的意义主要有：①开发利用太空中丰富的生物资源；②推动人类科技技术的进步，促进新资源的开发；③认识宇宙环境对地球的影响；④能更好地保护地球家园。,①②③,②③④,①③④,①②④,,
STAGE2025-GEO-004,4,single_choice,2,1,2025年8月7日至17日，第12届世界运动会（简称“世运会”）在成都成功举办。本届世运会上中国体育代表团金牌、奖牌总数均创历史新高。读地球公转示意图，完成第4-6小题。,世运会举办期间，地球位于公转轨道,A—B之间,B—C之间,C—D之间,D—A之间,,question_images/figure_02.png
STAGE2025-GEO-005,5,single_choice,2,2,读地球公转示意图，完成第4-6小题。,世运会举办期间，太阳直射点,位于赤道与北回归线间，且向北移动,位于赤道与南回归线间，且向南移动,位于赤道与南回归线间，且向北移动,位于赤道与北回归线间，且向南移动,,question_images/figure_02.png
STAGE2025-GEO-006,6,single_choice,2,2,读地球公转示意图，完成第4-6小题。,从世运会结束到国庆节，成都的昼长变化情况是,逐渐变短,逐渐变长,先变长，后变短,先变短，后变长,,question_images/figure_02.png
STAGE2025-GEO-007,7,single_choice,2,2,世界人口的分布不均衡，文化习俗具有多样性。读世界人口分布图，完成第7-9小题。,世界的人口主要分布在：①中低纬地区；②中高纬地区；③内陆地区；④沿海地区；⑤平原；⑥山地。,①③⑤,①④⑤,②③⑥,②④⑥,,question_images/figure_03.png
STAGE2025-GEO-008,8,single_choice,2,2,读世界人口分布图，完成第7-9小题。,影响图中甲、乙、丙、丁四地人口稀疏的主要自然原因对应正确的是,甲地——纬度低，气候湿热,乙地——位于内陆，降水少,丙地——海拔高，高寒缺氧,丁地——沿海地区，降水多,,question_images/figure_03.png
STAGE2025-GEO-009,9,single_choice,2,2,读世界人口分布图，完成第7-9小题。,甲地的人种主要是,黄色人种,白色人种,黑色人种,混血人种,,question_images/figure_03.png
STAGE2025-GEO-010,10,single_choice,2,2,2025年3月21日22时53分，阿留申群岛发生6.2级地震，5分钟后，同一区域又发生5.5级地震。专家提醒沿海居民需警惕地震引发的其他灾害风险，及时关注预警信息。下图示意本次地震震中位置。据此完成第10-11小题。,造成阿留申群岛地震的原因是,亚欧板块与印度洋板块的碰撞挤压,太平洋板块与印度洋板块的碰撞挤压,亚欧板块与太平洋板块的碰撞挤压,太平洋板块与美洲板块的碰撞挤压,,question_images/figure_04.png
STAGE2025-GEO-011,11,single_choice,2,2,下图示意阿留申群岛地震震中位置。据此完成第10-11小题。,沿海居民需要防范可能由地震引发的,海啸,暴雨,台风,泥石流,,question_images/figure_04.png
STAGE2025-GEO-012,12,single_choice,2,3,近些年，北方一些老年人开始重视康养，每年搭乘“越冬专列”在南、北方地区间往返，过起了候鸟式的生活。读《候鸟老人的迁移》漫画，完成第12-13小题。,我国“候鸟老人”现象形成的主要自然原因是,冬季南北降水差异大,冬季南北温差大,夏季南北降水差异大,夏季南北温差大,,question_images/figure_05.png
STAGE2025-GEO-013,13,single_choice,2,3,读《候鸟老人的迁移》漫画，完成第12-13小题。,“冬天去南方”中的“南方”最有可能指的是,海南省,甘肃省,陕西省,河北省,,question_images/figure_05.png
STAGE2025-GEO-014,14,single_choice,2,3,“一碗水，半碗泥”，黄河是世界上含沙量最大的河流。黄河中游河段含沙量剧增，下游泥沙淤积严重，水患多发。治理黄河是事关中华民族伟大复兴和永续发展的千秋大计，长江发源于“世界屋脊”——青藏高原的唐古拉山脉各拉丹冬峰西南侧。干流流经11个省级行政区（八省二市一区），于崇明岛以东注入东海。读“黄河、长江示意图”，完成第14-15小题。,治理黄河的关键在于图中阴影所示区域的水土保持，下列做法不合理的是,开垦陡坡地，大力发展粮食生产,植树种草，建设护坡林草带,坡脚建挡土坝、护坡保水土,合理安排生产活动，退耕还林还草,,question_images/figure_06.png
